id,name
230,"Zheng-Zhu Li"
231,"Y. S. Tsai"
232,"Karel Culik II"
233,"Jozef Gruska"
234,"Tjalling Gelsema"
235,"Peter J. Denning"
236,"Kevin C. Kahn"
237,"Jacques Leroudier"
238,"Dominique Potier"
239,"Rajan Suri"
240,"Andrea Maggiolo-Schettini"
241,"Davide Sangiorgi"
242,"Christian Choffrut"
243,"Michael Schenke"
244,"Ernst-Rüdiger Olderog"
245,"Flavio Corradini"
246,"Roberto Gorrieri"
247,"Marco Roccetti"
248,"Anton Nijholt"
249,"Kung-Kiu Lau"
250,"Maria Rita Di Berardini"
251,"Peter R. J. Asveld"
252,"J. V. Tucker"
253,"Zohar Manna"
254,"Amir Pnueli"
255,"Ann E. Kelley Sobel"
256,"Neelam Soundararajan"
257,"Giora Slutzki"
258,"Thomas Klingler"
259,"Frank Drewes"
260,"Johanna Högberg"
261,"Lars Jacobsen"
262,"Bruce Russell"
263,"Jörg H. Siekmann"
264,"Graham Wrightson"
265,"Nissim Francez"
266,"Boris Klebansky"
267,"Charles N. Fischer"
268,"D. R. Milton"
269,"S. B. Quiring"
270,"Axel van Lamsweerde"
271,"Michel Sintzoff"
272,"Hermann A. Maurer"
273,"Inman P. de Guzmán"
274,"Manuel Ojeda-Aciego"
275,"Agustín Valverde"
276,"John B. Kam"
277,"Jeffrey D. Ullman"
278,"Mikkel Thorup"
279,"José M. Amigó"
280,"Gerth Stølting Brodal"
281,"Erik D. Demaine"
282,"J. Ian Munro"
283,"S. Kiran Kumar"
284,"C. Pandu Rangan"
285,"Mila E. Majster-Cederbaum"
286,"Jinzhao Wu"
287,"Houguang Yue"
288,"Changwook Kim"
289,"A. Michael Berman"
290,"Marvin C. Paull"
291,"Barbara G. Ryder"
292,"Peter Kandzia"
293,"Beverly A. Sanders"
294,"Pedro V. Silva"
295,"K. V. S. Ramarao"
296,"Amr Elmasry"
297,"Michael L. Fredman"
298,"Eric C. R. Hehner"
299,"Lorene E. Gupta"
300,"Andrew J. Malton"
301,"Rodney W. Topor"
302,"Juhani Karhumäki"
303,"Thomas Eiter"
304,"Heikki Mannila"
305,"Raúl J. Ramírez"
306,"Frank Wm. Tompa"
307,"Erol Gelenbe"
308,"Jacques Lenfant"
309,"Ferucio Laurentiu Tiplea"
310,"Erkki Mäkinen"
311,"Corina Apachite"
312,"Friedrich L. Bauer"
313,"Andrei P. Ershov"
314,"Manfred Paul"
315,"Alan J. Perlis"
316,"Wayne A. Babich"
317,"Mehdi Jazayeri"
318,"Robert H. Sloan"
319,"Ugo A. Buy"
320,"Oded Goldreich"
321,"Liuba Shrira"
322,"Josep Díaz"
323,"Maria J. Serna"
324,"Jacobo Torán"
325,"Lorenzo Bettini"
326,"Ferruccio Damiani"
327,"Ina Schaefer"
328,"T. C. Edwin Cheng"
329,"Qing Ding"
330,"François Baccelli"
331,"Thierry Fleury"
332,"Adrian Atanasiu"
333,"Charlie Svahnberg"
334,"Klaus H. Hinrichs"
335,"Jürg Nievergelt"
336,"Peter Schorn"
337,"Gerald Lüttgen"
338,"Sascha Fendrich"
339,"Ismo Hakala"
340,"Juha Kortelainen"
341,"Robert Meersman"
342,"Amit Chakrabarti"
343,"Venkatesan Guruswami"
344,"Andrew Wirth"
345,"Anthony Wirth"
346,"N. P. Chapman"
347,"Hans Jürgen Schneider"
348,"Hartmut Ehrig"
349,"Wenceslas Fernandez de la Vega"
350,"Vangelis Th. Paschos"
351,"Andreas Stafylopatis"
352,"Kim Marriott"
353,"Thomas Lehmann"
354,"Jacques Loeckx"
355,"M. R. Garey"
356,"Ronald L. Graham"
357,"G. Marque-Pucheu"
358,"Maurice Nivat"
359,"Reidar Conradi"
360,"Mahadevan Ganapathi"
361,"Aviezri S. Fraenkel"
362,"Moshe Mor"
363,"Yehoshua Perl"
364,"Johannes Röhrich"
365,"Uwe Kastens"
366,"Arnaud Carayol"
367,"Antoine Meyer"
368,"Luc Boasson"
369,"Oscar H. Ibarra"
370,"Chul E. Kim"
371,"William E. Weihl"
372,"Francesco Ranzato"
373,"Vesa Halava"
374,"Mika Hirvensalo"
375,"Hans-Anton Rollik"
376,"Demetres D. Kouvatsos"
377,"John Almond"
378,"Alexander Grigoriev"
379,"Gerhard J. Woeginger"
380,"Donald Sannella"
381,"Andrzej Tarlecki"
382,"Henning Bordihn"
383,"Markus Holzer"
384,"Paul M. Zislis"
385,"Gary Levin"
386,"David Gries"
387,"Tero Harju"
388,"Jan Ramon"
389,"Maurice Bruynooghe"
390,"Michel Latteux"
391,"B. Leguy"
392,"B. Ratoandromanana"
393,"Lila Kari"
394,"Elena Losseva"
395,"Geoff Wozniak"
396,"Reinhold Franck"
397,"Md. Enamul Kabir"
398,"Hua Wang"
399,"Elisa Bertino"
400,"Thomas Giammo"
401,"Elizabeth Scott"
402,"Adrian Johnstone"
403,"Tomás Brázdil"
404,"Oldrich Strazovský"
405,"Antonella Santone"
406,"Gigliola Vaglini"
407,"Joachim Klein 0001"
408,"Christel Baier"
409,"Sascha Klüppelholz"
410,"Edward G. Belaga"
411,"John P. Kearns"
412,"Mary Lou Soffa"
413,"Hsien-Kuei Hwang"
414,"Jean-Marie Nicolas"
415,"Juan Ignacio Perna"
416,"Jim Woodcock"
417,"Augusto Sampaio"
418,"Juliano Iyoda"
419,"Hans Langmaack"
420,"Róbert Szelepcsényi"
421,"G. Bauer"
422,"Lucian Ilie"
423,"Hisao Kameda"
424,"Dirk Hauschildt"
425,"Matthias Jantzen"
426,"Dean Jacobs"
427,"Jan van Leeuwen"
428,"Thomas Ottmann"
429,"Michael Schrapp"
430,"Martin Wirsing"
431,"Alan J. Demers"
432,"C. Keleman"
433,"Bernd Reusch"
434,"Beate Commentz-Walter"
435,"Lawrence T. Kou"
436,"Alexander Meduna"
437,"Henning Fernau"
438,"M. Kempf"
439,"Rudolf Bayer"
440,"Ulrich Güntzer"
441,"Eljas Soisalon-Soininen"
442,"Yennun Huang"
443,"Pankaj Jalote"
444,"Yiwei Jiang"
445,"Yong He"
446,"Iain A. Stewart"
447,"Klaus Küspert"
448,"Foto N. Afrati"
449,"Rada Chirkova"
450,"Manolis Gergatsoulis"
451,"Vassia Pavlaki"
452,"Didier Y. Hinz"
453,"Jesús N. Ravelo"
454,"Shmuel Sagiv"
455,"Michael Rodeh"
456,"Jean-François Perrot"
457,"Gaston H. Gonnet"
458,"Lawrence D. Rogers"
459,"J. Alan George"
460,"Antti Valmari"
461,"Arturo Carpi"
462,"Flavio D'Alessandro"
463,"Gadi Taubenfeld"
464,"Shlomo Moran"
465,"Dominic Duggan"
466,"Hans-Dieter Ehrich"
467,"Carlos Caleiro"
468,"Mike Paterson"
469,"Ingo Wegener"
470,"Jürgen Dingel"
471,"Laurent Alonso"
472,"René Schott"
473,"Petr Zemek"
474,"Neal A. Harman"
475,"Terrence W. Pratt"
476,"Stéphane Coulondre"
477,"Toshiro Araki"
478,"Nobuki Tokura"
479,"Sibsankar Haldar"
480,"K. Vidyasankar"
481,"Donna J. Brown"
482,"Brenda S. Baker"
483,"Howard P. Katseff"
484,"Nasreddine Tabet-Aouel"
485,"Józef Winkowski"
486,"Simon J. Gay"
487,"Malcolm Hole"
488,"Gerardo Costa"
489,"Colin Stirling"
490,"Madhu Mutyam"
491,"Kamala Krithivasan"
492,"Werner Pohlmann"
493,"Aart Middeldorp"
494,"Hitoshi Ohsaki"
